MANUAL DE ENFERMERIA MEDICO QUIRURGICA V.2	ESPERANZA RAYON	2002	610.73	R 277m	14157	
MANUAL DE ENFERMERIA MEDICO QUIRURGICA V.3	ESPERANZA RAYON	2002	610.73	R 277m	14156	
MANUAL DE GERIATRIA Y GERONTOLOGIA	PEDRO PAULO MARIN L.	2002	611.5	M 337m	9488	
MANUAL DE INFORMACION PARA LA EDUCACION. SIDA	COM. NAC SIDA. CHILE	1994	614.4	L 318	3459	
MANUAL DE SEGURIDAD PRIMEROS AUXILIOS	W. J. HACKETT	1992	614.88	H 121	1865	
MANUAL DE SEGURIDAD PRIMEROS AUXILIOS	W. J. HACKETT	1992	614.88	H 121	16500	
MANUAL DE SEGURIDAD PRIMEROS AUXILIOS	W. J. HACKETT	1992	614.88	H 121	16501	
MEDICINA EN SALUD PUBLICA	VICENTE ENRIQUE MAZZAFERO	1994	614	M 477	7495	
MEDICINA LABORAL Y AMBIENTAL	JOSEPH LADOU	1999	616.980.3	L 156m	10847	
MEDICINA LEGAL	ALBERTO TAKE	2001	614	T 355m	12513	
MENOPAUSIA Y ENVEJECIMIENTO	OSCAR GONZALEZ CAMPOS	1993	616693	G 643m	9063	
MI HIJO NO QUIERE DORMIR	JO DOUGLAS	1987	614.07	D 734	8315	
MI HIJO NO QUIERE DORMIR	JO DOUGLAS	1987	614.07	D 734	8316	
MI HIJO NO QUIERE DORMIR	JO DOUGLAS	1987	614.07	D 734	8317	
MI HIJO NO QUIERE DORMIR	JO DOUGLAS	1987	614.07	D 734	8318	
NUEVO MANUAL MERK DE INFORMACION MEDICA GENERAL. V.1	MARK H. BEERS	2009	616075	M 294m	14168	
NUEVO MANUAL MERK DE INFORMACION MEDICA GENERAL. V.2	MARK H. BEERS	2009	616075	M 294m	14167	
NUTRICION Y ALIMENTACION HUMANA. V.1	JOSE MATAIX VERDU	2010	613.2	M 425n	13618	
NUTRICION Y ALIMENTACION HUMANA. V.2	JOSE MATAIX VERDU	2010	613.2	M 425n	13619	
NUTRICION Y ALIMENTOS	CAROLYN D. BERDANIER	2010	613.2	B 486na	14205	
OBESIDAD UN DESAFIO PENDIENTE	CECILIA ALBALA	2000	616398	A 325o	7967	
OBESIDAD UN DESAFIO PENDIENTE	CECILIA ALBALA	2000	616398	A 325o	7968	
OBESIDAD UN DESAFIO PENDIENTE	CECILIA ALBALA	2000	616398	A 325o	9072	
PEDIATRIA	GILBERTO TREVIÑO	2009	618.92	T 813p	14152	
PEDIATRIA. T.1	JULIO MENEGHELLO	1972	618.92	M 541	5080	
PEDIATRIA. T.1	JULIO MENEGHELLO	1985	618.92	M 541p	1450	
PEDIATRIA. T.2	JULIO MENEGHELLO	1972	618.92	M 541pe	5081	
PEDIATRIA. T.2	JULIO MENEGHELLO	1985	618.92	M 541ped	1451	
PREVENCION Y TRATAMIENTO DE ENFERMEDADES INFANTILES. PUERICULTURA	EDIC. CEAC	1997	614.07	E 21p	8319	
PREVENCION Y TRATAMIENTO DE ENFERMEDADES INFANTILES. PUERICULTURA	EDIC. CEAC	1997	614.07	E 21p	8320	
PREVENCION Y TRATAMIENTO DE ENFERMEDADES INFANTILES. PUERICULTURA	EDIC. CEAC	1997	614.07	E 21p	8321	
PREVENCION Y TRATAMIENTO DE ENFERMEDADES INFANTILES. PUERICULTURA	EDIC. CEAC	1997	614.07	E 21p	8322	
PRIMEROS AUXILIOS. ATLAS PRACTICO DE URGENCIAS MEDICAS. ACCIDENTES Y SOCORRISMOS	SANTIAGO ROSALES	2000	614.88	R 788	8509	
PRIMEROS AUXILIOS. ATLAS PRACTICO DE URGENCIAS MEDICAS. LAS ENFERMEDADES: CAUSAS SINTOMAS Y CUIDADOS.	SANTIAGO ROSALES	2000	614.88	V 494	8507	
PRIMEROS AUXILIOS. ATLAS PRACTICO DE URGENCIAS MEDICAS. SALUD Y PREVENCION	SANTIAGO ROSALES	2000	614.88	R 788	8508	
PROCEDIMIENTOS DE ENFERMERIA CLINICA	ELIZABETH M. JAMIESON	2008	610.73	J 32p	14154	
PROMOCION DE LA SALUD Y APOYO PSICOLOGICO AL PACIENTE	MANUEL GALLAR	2007	610696	G 696p	14197	
PSICOFISIOLOGIA DE LA PERSONALIDAD	FERNANDO LOLAS S.	1998	616858	L 837	8098	
PSICOTERAPIA DE GRUPO CON LOS NIÑOS	JULIA COROMINAS	1996	616864	C 822p	10765	
SALUD OCUPACIONAL. CONCEPTOS BASICOS	FERNANDO HENAO ROBLEDO	2010	613.62	H 493s	14276	
SEXUALIDAD. EMBARAZO Y PARTO	MAX ZIMMERMANN	1998	612.6	Z 75se	8496	
SEXUALIDAD. INFANCIA Y ADOLESCENCIA	MAX ZIMMERMANN	1998	612.6	Z 75se	8495	
SEXUALIDAD -LA VIDA SEXUAL I	MAX ZIMMERMANN	1998	612.6	Z 75se	8493	
SEXUALIDAD -LA VIDA SEXUAL I	MAX ZIMMERMANN	1998	612.6	Z 75se	8494	
SOBRE VIRUS Y HOMBRES. LA CARRERA CONTRA EL SIDA	LUC MONTAGNIER	1995	614.44	M 758	7492	
TECNICAS BASICAS DE ENFERMERIA	CARMEN JUAN BLANCH	2004	610.73	J 91t	14164	
TECNICAS DE COMUNICACIÓN Y RELACION AYUDA EN CIENCIAS DE LA SALUD	LUIS CIBANAL	2010	613	C 567t	14315	
TECNICAS DE PSICOTERAPIAS DINAMICAS	RAMON FLORENZANO	1991	615857	F 633	8082	
TECNOBUROCRACIA SANITARIA	CELIA IRIART	1994	614	I 68	7490	
TECNOBUROCRACIA SANITARIA	CELIA IRIART	1994	614	I 68	7755	
TRATADO DE FISIOLOGIA MEDICA	ARTHUR C. GUYTON	1992	612	G 992t	3769	
TRATADO DE FISIOLOGIA MEDICA	ARTHUR C. GUYTON	2011	612	G 992t	14150	
TRATADO DE FISIOLOGIA MEDICA	ARTHUR C. GUYTON	2011	612	G 992t	14151	
